AUDIT_YEAR,org_level,org_code,org_name,category,breakdown,numerator,denominator,percentage
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,15-19 years,195,1505,12.95681063
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,20-29 years,310,1505,20.59800664
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,30-39 years,155,1505,10.29900332
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,40-49 years,100,1505,6.644518272
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,50 plus years,50,1505,3.322259136
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,5-9 years,195,1505,12.95681063
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Ethnicity group,Asian,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Ethnicity group,Mixed,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,ethnicity group,Other,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,ethnicity group,unknown,10,1505,0.664451827
2020_21,CCG/LHB,00L,NHS Northumberland CCG,ethnicity group,White,1485,1505,98.67109635
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Smoking status,1 - current smoker,250,1505,16.61129568
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Smoking status,2 - ex-smoker,380,1505,25.24916944
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Smoking status,3 - non-smoker,20,1505,1.328903654
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Smoking status,4 - never smoked,850,1505,56.47840532
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Smoking status,unknown,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,unknown,0,1505,0
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Ethnicity group,Black,0,1505,0
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Glucose technology,CLS,0,1505,0
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Glucose technology,CGM,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Glucose technology,Flash,565,1505,37.54152824
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,2 - 48 < HbA1c <= 53,110,1200,9.166666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,1 - HbA1c <= 48,85,1200,7.083333333
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,5 - 69 < HbA1c <= 86,315,1200,26.25
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,3 - 53 < HbA1c <= 58,140,1200,11.66666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,4 - 58 < HbA1c <= 69,345,1200,28.75
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,6 - HbA1c > 86,200,1200,16.66666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c achieved,HbA1c value unknown,5,1200,0.416666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c measured,HbA1c measured,1225,1505,81.39534884
2020_21,CCG/LHB,00L,NHS Northumberland CCG,insulin regimen,3. Fixed mix,180,1505,11.96013289
2020_21,CCG/LHB,00L,NHS Northumberland CCG,insulin regimen,1. Insulin pump,115,1505,7.641196013
2020_21,CCG/LHB,00L,NHS Northumberland CCG,insulin regimen,2. Basal bolus,1205,1505,80.06644518
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Service location,specialist services,1280,1505,85.04983389
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,albumin measured,645,1505,42.85714286
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,BMI measured,1110,1505,73.75415282
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,BP measured,1220,1505,81.06312292
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,smoking measured,1330,1505,88.37209302
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,cholesterol measured,1035,1505,68.77076412
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,creatinine measured,1115,1505,74.08637874
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,HbA1c measured,1225,1505,81.39534884
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,foot_exam measured,840,1505,55.81395349
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,Primary prevention,540,815,66.25766871
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,All 3 TTs,165,1105,14.9321267
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,HbA1c <= 58 mmol/mol,340,1200,28.33333333
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Care processes,All 8 CPs measured,475,1505,31.56146179
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,Blood Pressure <= 140/80,790,1185,66.66666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,Combined prevention,660,965,68.39378238
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Treatment targets,Secondary prevention,120,150,80
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,3rd most deprived,65,205,31.70731707
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Treatment type,Insulin pump,45,90,50
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Treatment type,Fixed mix,30,145,20.68965517
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_40_to_49,55,200,27.5
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd least deprived,75,220,34.09090909
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,unknown,0,5,0
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_50_to_59,60,255,23.52941176
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_70_to_79,45,120,37.5
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,Least deprived,75,230,32.60869565
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_60_to_69,70,240,29.16666667
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,Most deprived,60,285,21.05263158
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd most deprived,65,255,25.49019608
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Treatment type,Basal bolus,260,965,26.94300518
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_19_to_24,20,85,23.52941176
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_25_to_29,20,100,20
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_30_to_39,55,170,32.35294118
2020_21,CCG/LHB,00L,NHS Northumberland CCG,HbA1c <= 58 mmol/mol by Age band,Age_80_plus,5,25,20
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_19_to_24,65,710,9.154929577
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_25_to_29,60,710,8.450704225
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_30_to_39,135,710,19.01408451
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_40_to_49,140,710,19.71830986
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_50_to_59,150,710,21.12676056
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_60_to_69,105,710,14.78873239
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_70_to_79,45,710,6.338028169
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Age band,Age_80_plus,10,710,1.408450704
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,Healthy weight,140,710,19.71830986
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,Obese,115,710,16.1971831
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,Overweight,185,710,26.05633803
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,Severely obese,60,710,8.450704225
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,Underweight,10,710,1.408450704
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,BMI group,unknown,205,710,28.87323944
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,1 - most deprived,425,710,59.85915493
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,2 - 2nd most deprived,160,710,22.53521127
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,3 - 3rd most deprived,45,710,6.338028169
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,4 - 2nd least deprived,40,710,5.633802817
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,5 - least deprived,45,710,6.338028169
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,< 1 year,20,710,2.816901408
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,10-14 years,105,710,14.78873239
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,1-4 years,75,710,10.56338028
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,15-19 years,105,710,14.78873239
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,20-29 years,160,710,22.53521127
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,30-39 years,95,710,13.38028169
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,40-49 years,35,710,4.929577465
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,50 plus years,30,710,4.225352113
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,5-9 years,90,710,12.67605634
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Ethnicity group,Asian,5,710,0.704225352
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Ethnicity group,Black,5,710,0.704225352
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Ethnicity group,Mixed,5,710,0.704225352
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,ethnicity group,Other,5,710,0.704225352
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,ethnicity group,unknown,65,710,9.154929577
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,ethnicity group,White,635,710,89.43661972
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Smoking status,1 - current smoker,155,710,21.83098592
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Smoking status,2 - ex-smoker,175,710,24.64788732
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Smoking status,3 - non-smoker,50,710,7.042253521
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Smoking status,4 - never smoked,335,710,47.18309859
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Deprivation,unknown,0,710,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Diabetes duration,unknown,0,710,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Smoking status,unknown,0,710,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Glucose technology,CGM,0,710,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Glucose technology,Flash,215,710,30.28169014
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Glucose technology,CLS,0,710,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,1 - HbA1c <= 48,35,555,6.306306306
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,2 - 48 < HbA1c <= 53,45,555,8.108108108
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,3 - 53 < HbA1c <= 58,65,555,11.71171171
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,6 - HbA1c > 86,105,555,18.91891892
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,HbA1c value unknown,0,555,0
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,4 - 58 < HbA1c <= 69,140,555,25.22522523
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c achieved,5 - 69 < HbA1c <= 86,165,555,29.72972973
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c measured,HbA1c measured,565,710,79.57746479
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,insulin regimen,3. Fixed mix,80,710,11.26760563
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,insulin regimen,1. Insulin pump,70,710,9.85915493
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,insulin regimen,2. Basal bolus,565,710,79.57746479
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Service location,specialist services,225,710,31.69014085
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,BMI measured,530,710,74.64788732
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,albumin measured,435,710,61.26760563
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,BP measured,560,710,78.87323944
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,foot_exam measured,430,710,60.56338028
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,smoking measured,625,710,88.02816901
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,cholesterol measured,470,710,66.1971831
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,creatinine measured,525,710,73.94366197
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,HbA1c measured,565,710,79.57746479
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,Combined prevention,300,435,68.96551724
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,Primary prevention,240,370,64.86486486
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,HbA1c <= 58 mmol/mol,140,555,25.22522523
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,Secondary prevention,55,65,84.61538462
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,All 3 TTs,75,495,15.15151515
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Care processes,All 8 CPs measured,285,710,40.14084507
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,Treatment targets,Blood Pressure <= 140/80,345,550,62.72727273
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_19_to_24,15,50,30
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_40_to_49,25,115,21.73913043
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,Least deprived,15,40,37.5
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_50_to_59,30,125,24
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_60_to_69,35,95,36.84210526
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_80_plus,5,10,50
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,Most deprived,75,320,23.4375
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Treatment type,Insulin pump,20,60,33.33333333
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_70_to_79,15,30,50
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd most deprived,35,125,28
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,3rd most deprived,10,35,28.57142857
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_25_to_29,10,40,25
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Age band,Age_30_to_39,15,95,15.78947368
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd least deprived,5,30,16.66666667
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Treatment type,Basal bolus,110,440,25
2020_21,CCG/LHB,00N,NHS South Tyneside CCG,HbA1c <= 58 mmol/mol by Treatment type,Fixed mix,15,55,27.27272727
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_19_to_24,125,1345,9.293680297
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_25_to_29,125,1345,9.293680297
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_30_to_39,255,1345,18.95910781
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_40_to_49,245,1345,18.21561338
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_50_to_59,295,1345,21.9330855
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_60_to_69,185,1345,13.75464684
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_70_to_79,85,1345,6.319702602
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Age band,Age_80_plus,30,1345,2.230483271
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,Healthy weight,255,1345,18.95910781
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,Obese,160,1345,11.89591078
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,Overweight,325,1345,24.16356877
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,Severely obese,110,1345,8.178438662
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,Underweight,10,1345,0.743494424
2020_21,CCG/LHB,00P,NHS Sunderland CCG,BMI group,unknown,490,1345,36.43122677
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,1 - most deprived,610,1345,45.35315985
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,2 - 2nd most deprived,390,1345,28.99628253
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,3 - 3rd most deprived,140,1345,10.40892193
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,4 - 2nd least deprived,180,1345,13.38289963
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,5 - least deprived,20,1345,1.486988848
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Deprivation,unknown,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,< 1 year,30,1345,2.230483271
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,10-14 years,200,1345,14.86988848
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,1-4 years,110,1345,8.178438662
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,15-19 years,180,1345,13.38289963
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,20-29 years,300,1345,22.30483271
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,30-39 years,170,1345,12.6394052
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,40-49 years,125,1345,9.293680297
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,50 plus years,60,1345,4.460966543
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,5-9 years,165,1345,12.26765799
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Ethnicity group,Asian,10,1345,0.743494424
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Ethnicity group,Black,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Ethnicity group,Mixed,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,ethnicity group,Other,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,ethnicity group,unknown,40,1345,2.973977695
2020_21,CCG/LHB,00P,NHS Sunderland CCG,ethnicity group,White,1285,1345,95.53903346
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Smoking status,1 - current smoker,285,1345,21.18959108
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Smoking status,2 - ex-smoker,330,1345,24.53531599
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Smoking status,3 - non-smoker,50,1345,3.717472119
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Smoking status,4 - never smoked,680,1345,50.55762082
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Smoking status,unknown,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Diabetes duration,unknown,0,1345,0
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Glucose technology,CLS,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Glucose technology,CGM,5,1345,0.371747212
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Glucose technology,Flash,400,1345,29.73977695
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,6 - HbA1c > 86,215,1095,19.6347032
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,1 - HbA1c <= 48,65,1095,5.936073059
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,HbA1c value unknown,5,1095,0.456621005
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,3 - 53 < HbA1c <= 58,115,1095,10.50228311
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,4 - 58 < HbA1c <= 69,255,1095,23.28767123
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,5 - 69 < HbA1c <= 86,360,1095,32.87671233
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c achieved,2 - 48 < HbA1c <= 53,80,1095,7.305936073
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c measured,HbA1c measured,1110,1345,82.52788104
2020_21,CCG/LHB,00P,NHS Sunderland CCG,insulin regimen,3. Fixed mix,105,1345,7.80669145
2020_21,CCG/LHB,00P,NHS Sunderland CCG,insulin regimen,1. Insulin pump,95,1345,7.063197026
2020_21,CCG/LHB,00P,NHS Sunderland CCG,insulin regimen,2. Basal bolus,1145,1345,85.13011152
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Service location,specialist services,640,1345,47.58364312
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,albumin measured,460,1345,34.20074349
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,BMI measured,935,1345,69.51672862
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,BP measured,1090,1345,81.04089219
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,Combined prevention,660,825,80
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,All 3 TTs,145,985,14.72081218
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,All 8 CPs measured,245,1345,18.21561338
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,Blood Pressure <= 140/80,740,1070,69.1588785
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,Secondary prevention,150,170,88.23529412
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,foot_exam measured,745,1345,55.39033457
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,HbA1c measured,1110,1345,82.52788104
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,cholesterol measured,975,1345,72.49070632
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,creatinine measured,1090,1345,81.04089219
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Care processes,smoking measured,1205,1345,89.59107807
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,HbA1c <= 58 mmol/mol,265,1095,24.20091324
2020_21,CCG/LHB,00P,NHS Sunderland CCG,Treatment targets,Primary prevention,510,655,77.86259542
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,Most deprived,95,495,19.19191919
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd most deprived,80,325,24.61538462
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c <= 58 mmol/mol by Deprivation Quintile,2nd least deprived,40,150,26.66666667
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c <= 58 mmol/mol by Treatment type,Basal bolus,215,925,23.24324324
2020_21,CCG/LHB,00P,NHS Sunderland CCG,HbA1c <= 58 mmol/mol by Treatment type,Fixed mix,25,90,27.77777778
